swatch,color.name,hex
#FFCC00,USC Gold,#FFCC00
#D3003F,Utah Crimson,#D3003F
#F3E5AB,Vanilla,#F3E5AB
#C5B358,Vegas gold,#C5B358
#C80815,Venetian red,#C80815
#43B3AE,Verdigris,#43B3AE
#E34234,Vermilion,#E34234
#A020F0,Veronica,#A020F0
#8F00FF,Violet,#8F00FF
#7F00FF,Violet (color wheel),#7F00FF
#8601AF,Violet (RYB),#8601AF
#EE82EE,Violet (web),#EE82EE
#40826D,Viridian,#40826D
#922724,Vivid auburn,#922724
#9F1D35,Vivid burgundy,#9F1D35
#DA1D81,Vivid cerise,#DA1D81
#FFA089,Vivid tangerine,#FFA089
#9F00FF,Vivid violet,#9F00FF
#004242,Warm black,#004242
#645452,Wenge,#645452
#F5DEB3,Wheat,#F5DEB3
#FFFFFF,White,#FFFFFF
#F5F5F5,White smoke,#F5F5F5
#A2ADD0,Wild blue yonder,#A2ADD0
#FF43A4,Wild Strawberry,#FF43A4
#FC6C85,Wild Watermelon,#FC6C85
#C9A0DC,Wisteria,#C9A0DC
#738678,Xanadu,#738678
#0F4D92,Yale Blue,#0F4D92
#FFFF00,Yellow,#FFFF00
#EFCC00,Yellow (Munsell),#EFCC00
#FFD300,Yellow (NCS),#FFD300
#FFEF00,Yellow (process),#FFEF00
#FEFE33,Yellow (RYB),#FEFE33
#9ACD32,Yellow-green,#9ACD32
#0014A8,Zaffre,#0014A8
#2C1608,Zinnwaldite brown,#2C1608
